Task,Priority,Deadline,isDone
Buy groceries,High,2024-05-05,1
Finish report,Medium,2024-05-10,0
Call mom,Low,2024-05-07,0
Complete project proposal,High,2024-05-15,0
Pay bills,High,2024-05-08,1
Study for exam,High,2024-05-20,0
Schedule dentist appointment,Medium,2024-05-10,0
Exercise,Medium,2024-05-12,0
Read book,Medium,2024-05-18,0
Write blog post,Medium,2024-05-14,1
Prepare presentation,Medium,2024-05-17,0
Call friend,Low,2024-05-09,0
Clean house,Low,2024-05-11,1
Go for a walk,Low,2024-05-16,0
Watch movie,Low,2024-05-13,0
Cook dinner,Low,2024-05-19,0
Water plants,Low,2024-05-07,0
Check emails,Low,2024-05-06,0
Organize files,Low,2024-05-21,1
Plan weekend activities,Low,2024-05-22,1
